CLASE;TIEMPO;ZONA_RECEPCION;ZONA_CHECKIN;ZONA_CONTROL;ZONA_DUTYFREE;ZONA_OFICINAS;ZONA_PASARELA;ZONA_CINTA;ZONA_REGISTRO;ZONA_VESTURIO;ZONA_COMEDOR;ANDANDO
U_SALIENTES;38,710415;0,001667;2,797158;3,972016;0,000000;0,000000;5,859807;0,000000;0,000000;0,000000;0,000000;26,079767
U_SALIENTES;34,476284;0,001667;2,355993;8,524304;1,076724;0,000000;2,085567;0,000000;0,000000;0,000000;0,000000;20,432032
U_ENTRANTES;70,538849;0,000000;0,000000;12,560153;1,622290;0,000000;4,060679;28,833065;0,000000;0,000000;0,000000;23,462667
U_ENTRANTES;47,010166;0,000000;0,000000;7,624760;0,000000;0,000000;0,246359;29,258724;0,000000;0,000000;0,000000;9,880322
U_SALIENTES;16,033894;0,001667;2,270083;5,947324;0,000000;0,000000;2,397158;0,000000;0,000000;0,000000;0,000000;5,417663
U_ENTRANTES;80,123817;0,000000;0,000000;14,237192;15,975178;0,000000;2,429393;31,774549;0,000000;0,000000;0,000000;15,707506
U_ENTRANTES;74,060631;0,000000;0,000000;9,669231;2,908442;0,000000;11,378091;29,651062;0,000000;0,000000;0,000000;20,453802
U_ENTRANTES;45,808022;0,000000;0,000000;1,293127;0,000000;0,000000;0,221995;35,334858;0,000000;0,000000;0,000000;8,958036
U_ENTRANTES;64,587151;0,000000;0,000000;1,804961;3,025056;0,000000;5,660147;30,526703;0,000000;0,000000;0,000000;23,570284
U_ENTRANTES;61,860882;0,000000;0,000000;13,769348;0,000000;0,000000;5,235280;37,488903;0,000000;0,000000;0,000000;5,367351
U_SALIENTES;54,809078;0,001667;2,346611;10,203566;22,717548;0,000000;0,694319;0,000000;0,000000;0,000000;0,000000;18,845366
U_SALIENTES;60,254868;0,001667;2,205217;9,122127;5,156778;0,000000;12,233639;0,000000;0,000000;0,000000;0,000000;31,535440
U_SALIENTES;24,771420;0,001667;2,688377;6,763014;0,000000;0,000000;5,732153;0,000000;0,000000;0,000000;0,000000;9,586207
U_SALIENTES;66,129768;0,001667;1,931430;1,468455;28,849514;0,000000;1,830266;0,000000;0,000000;0,000000;0,000000;32,048435
U_SALIENTES;29,237642;0,001667;2,103312;7,866225;4,919816;0,000000;2,187475;0,000000;0,000000;0,000000;0,000000;12,159148
OPERARIOS;49,970200;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;2,031117;17,474739;25,526344;4,937998
U_SALIENTES;24,273460;0,001667;1,279877;0,689138;0,000000;0,000000;1,863495;0,000000;0,000000;0,000000;0,000000;20,439283
U_ENTRANTES;41,202045;0,000000;0,000000;0,602134;0,000000;0,000000;10,575940;19,490210;0,000000;0,000000;0,000000;10,533762
U_ENTRANTES;55,106361;0,000000;0,000000;1,955564;0,000000;0,000000;6,488763;39,152599;0,000000;0,000000;0,000000;7,509431
U_ENTRANTES;82,568764;0,000000;0,000000;1,641306;19,676685;0,000000;5,045073;38,453880;0,000000;0,000000;0,000000;17,751825
